2016/01/25 08:33:40 INFO  - jmeter.util.JMeterUtils: Setting Locale to pl_PL 
2016/01/25 08:33:41 INFO  - jmeter.util.JMeterUtils: Could not find resources for 'pl_PL', using 'pl' 
2016/01/25 08:33:41 INFO  - jmeter.JMeter: Loading user properties from: C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin\user.properties 
2016/01/25 08:33:41 INFO  - jmeter.JMeter: Loading system properties from: C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin\system.properties 
2016/01/25 08:33:41 INFO  - jmeter.JMeter: Copyright (c) 1998-2015 The Apache Software Foundation 
2016/01/25 08:33:41 INFO  - jmeter.JMeter: Version 2.13 r1665067 
2016/01/25 08:33:41 INFO  - jmeter.JMeter: java.version=1.8.0_71 
2016/01/25 08:33:41 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2016/01/25 08:33:41 INFO  - jmeter.JMeter: os.name=Windows 7 
2016/01/25 08:33:41 INFO  - jmeter.JMeter: os.arch=amd64 
2016/01/25 08:33:41 INFO  - jmeter.JMeter: os.version=6.1 
2016/01/25 08:33:41 INFO  - jmeter.JMeter: file.encoding=Cp1250 
2016/01/25 08:33:41 INFO  - jmeter.JMeter: Default Locale=polski (Polska) 
2016/01/25 08:33:41 INFO  - jmeter.JMeter: JMeter  Locale=polski (Polska) 
2016/01/25 08:33:41 INFO  - jmeter.JMeter: JMeterHome=C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13 
2016/01/25 08:33:41 INFO  - jmeter.JMeter: user.dir  =C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin 
2016/01/25 08:33:41 INFO  - jmeter.JMeter: PWD       =C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin 
2016/01/25 08:33:41 INFO  - jmeter.JMeter: IP: 172.30.52.195 Name: LENOVO-B50-70 FullName: LENOVO-B50-70.PRACOWNIA.LOCAL 
2016/01/25 08:33:42 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2016/01/25 08:33:42 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2016/01/25 08:33:45 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2016/01/25 08:33:45 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2016/01/25 08:33:48 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2016/01/25 08:33:49 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2016/01/25 08:33:49 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2016/01/25 08:33:49 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2016/01/25 08:33:49 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2016/01/25 08:33:49 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2016/01/25 08:33:49 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2016/01/25 08:33:49 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.control.gui.WebServiceSamplerGui 
2016/01/25 08:33:49 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2016/01/25 08:33:50 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'C:\Program Files\Java\jre1.8.0_71\bin\keytool' 
2016/01/25 08:33:50 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin\proxyserver.jks 
2016/01/25 08:33:51 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2016/01/25 08:33:51 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2016/01/25 08:33:51 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
